脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
承诺@彩虹@承诺如彩虹	它的绚丽是雨水赐予的礼物，也是雨水的微笑。
形状@拳头@橘子形状圆圆，大的像拳头一样大小	大有小。
春天@姑娘@春天是位爱美的姑娘	让世界姹紫嫣红。
时光@河@时光像一条河	潺潺流在时光的流里。
感动@回声@感动是悠悠回声，在心房中激荡	渐渐交融成一首歌曲。
鸟@花@鸟停在树上一动不动，犹如一朵艳丽的花	远远望去。
燕子@工人@小燕子像辛勤的工人	一大早就出门为自己的孩子找食物。
时光@利刃@时光如同一把利刃	它能协助我们切除思想上的毒瘤。
母爱@泉水@母爱如干旱沙漠里的一泓泉水	让人看到希望。
童年@芽儿@童年是小草的芽儿	充满了生机。
心里@五味瓶@我的心里像打翻了五味瓶	真不是滋味。
绿萝@小姑娘@我家就有一盆绿萝，像一个楚楚动人的小姑娘	在客厅里站着。
草@地毯@一大片小草嫩嫩的绿绿的，像铺上了一床绿色的大地毯	春天，
弯月@芦苇船@一轮弯月，像芦苇船航行在天上	四周的渔灯比星星还亮。
天幕@风火轮@太阳撞碎暗蓝色的天幕，像只燃烧的风火轮	忽地冲击地平线。
夏天@波浪@夏天如同岩石冲击的波浪	似心地善良的母亲神圣破碎地爱，均匀地施洒给自己每一个孩子。
热情@太阳@热情是太阳	让人处处感到温暖。
机会@茶@机会是一杯茶	让你回味无穷。
球花@花瓣@仙人球花像一个长长的喇叭对着蔚蓝的天空愉快地吹着那雪白的花瓣活像天鹅的羽毛	美丽而又光洁。
春雨@蚕@春雨连绵，像蚕宝宝在悄悄吞食桑叶	洒在院里的梧桐树上。
冬天@父亲@冬天像严厉的父亲	虽然苛刻似风雪，其实暗藏阳光暖暖。
草原@大海@草原像碧波荡漾的大海一望无际	让人赏心悦目美丽至极。
朋友@夏天@有的朋友就像夏天	赤诚的热情让你无法拒绝。
雪花@小精灵@雪花像一群可爱的小精灵在空中翩翩起舞像玉一样润	被风刮得在空中打着旋儿。
太阳@火球@太阳像一个火球	火辣辣地炙烤着大地。
谎言@蛀虫@谎言是一只心灵的蛀虫	将人的心蛀得面目全非。
失败@人@失败是人的必经之路	失败是人生的转折点，失败是一次又一次的经验。
桂林@竹笋@桂林的山真秀啊像新生的竹笋	色彩明丽，到映水中。
屏风@小姑娘@有一些柿子把叶子当做屏风，像害羞的小姑娘	躲了起来。
老师@蜡烛@老师像蜡烛	燃烧了自己，照亮了我们。
柳条@妈妈@翠绿的柳条像妈妈长长的头发	在风中缓缓飘动。
太阳@个@中午的太阳像个大火炉	烤得柏油路都发软了。
稻谷@小山@稻谷堆得像一座小山	粮食丰收了，
石榴@炸豆@石榴熟透了像炸豆似的炸开	向人们报告成熟的喜讯。
幸福@画笔@幸福是染色的画笔	能染红鲜花，也能染绿树叶。
小丘@大海@羊群一会儿上了小丘，像碧绿的大海上扬起了点点白帆	一会儿又下来。
雨丝@柳絮@雨丝很细很绵像春天时空飘浮的柳絮	丝丝缕缕缠绵不断。
来@小雨点@一阵风吹来，像一粒粒小雨点从天上掉落下来	一粒粒桂花从树上掉下来。
霞光@金箭@万簇金箭似的霞光	霎那间，从云层中迸射出来，
时间@云@时间如云	风过处，渐行渐远。
自信@柱子@自信就像是一根柱子	能撑起青春的天空。
热情@火焰@热情是火焰	让人热情奔放。
手@藕芽@小姑娘那双胖胖的小手像藕芽似的	手背上有个深深的小坑。
草莓@绿叶@近看草莓像一颗颗的红珍珠一样镶嵌在碧绿的绿叶中	远看就好像在一片绿色大地毯中镶嵌的一颗颗红色的宝石一样。
诚信@建筑工@诚信是高速公路的建筑工	只有他才能加快你的步伐。
雪花@小精灵@雪花像一群心爱小精灵在空中翩翩起舞像柳絮相同轻	被风刮得在空中打着旋儿。
荷花@君子@荷花像高傲的君子	出淤泥而不染。
声音@蚊子@那细微的声音像蚊子一般嗡嗡地响着	我屏息专注才能听出个大概。
眉毛@柳叶@女孩眉毛弯弯的，像柳叶	又清秀又漂亮。
椅子@朋友@椅子像忠实的朋友	默默地在我的身边。
生命@单行道@生命犹如单行道	没有回头的机会。
月亮@玉盘@月亮像玉盘一样	洁白无瑕。
银色@白霜@银色像老天洒下的白霜	雪亮雪亮的。
困难@肥料@困难是肥料	生活是树，要想生活之树长得挺拔。
勤劳@砖头@勤劳是砖头	给你打造稳固的基石。
蓝@海洋@它蓝似海洋	可比海洋要蓝得纯正；它蓝似天空，可比天空要蓝得深沉。
挫折@阳光@挫折是一缕阳光	可以点燃你智慧的明灯。
时间@水@时间似水	奔流入海，一去不返。
故乡@书@故乡是一本厚厚的书	翻开每一页都写着童年的故事。
爱心@明灯@爱心是一盏闪亮在黑暗的明灯	使寻求死亡的人明白生命的宝贵。
成长@天空@成长是一片天空	有乌云密布也有阳光明媚。
爱@天空@爱是宽阔的天空	包容一切。
玉米@胡子@饱满的玉米像个老公公一样留着白白的胡子	咧着嘴笑。
朋友@归雁@朋友是秋天的归雁	当你迷茫时给你引航。
柳絮@蝴蝶@柳絮就像蝴蝶一样飘飘悠悠的飞起来	风一吹，
未来@画@未来就像是一幅画	它是美丽的，五彩缤纷的。
圆溜溜@苹果@她的小脸圆溜溜的，像个熟透的苹果	白里透红。
梅花@精神@那朵朵幽芳的梅花像一个个中国人的精神	故乡的梅花又开了，
父亲@大海@父亲是一片大海	让你的灵魂即使遇到电闪雷鸣依然仁厚。
童年@浪花@童年如一朵朵浪花	最耀眼的是那朵最纯洁的。
春风@家@春风是为指导家	指挥着山涧的叮冬流淌和小鸟的欢快歌唱。
大树@士兵@大树像一排庄严的士兵	守卫着这个城市。
爱情@毛衣@爱情像一件温暖的毛衣	穿着它很幸福很安全，舒适和温暖。
秋天@小河@秋天，像一条小河	用自己纯洁的身躯把自己贡献给了别人。
粒粒@水晶石@我打开石榴一看，粒粒都像粉红色的水晶石	籽儿好红呀一粒连着一粒。
风@刷子@冬天的风，像一把刷子	刷白了整个世界。
悲伤@河@悲伤是决堤之河瞬息而至	似千军万马兵临城下。
雨@小调@秋天的雨像一曲婉转的小调	细细低吟。
学习@天梯@学习是天梯	我们凭借它可以视野开阔，傲视苍穹。
坚持@诗@坚持是诗	正被书写的诗。
友谊@绿叶@友谊如绿叶	我们互相依偎，创造出一颗颗庇荫的大树。
草地@地毯@啊一片墨绿色的草地像一床绿茵茵的地毯	鲜艳的野花竞相开放，清清的溪水倒映着我和牛的身影。
太阳@脸庞@太阳出来了，像一个小孩红润的脸庞	清晨，
朋友@桂花@朋友是秋天的桂花	当你落寞时给你安慰。
心@水面@我的心像游轮划过的水面	久久不能平静。
合作@气体@合作是构成空气的所有气体	共同构筑地球的屏障。
尾巴@剪刀@金鱼的尾巴像剪刀一样	在水里游动着。
蘑菇@地毯@青草地上面的一片蘑菇像一块美丽的地毯	摸上去软绵绵非常舒服。
父亲@大伞@父亲是一把大伞	即使在风雨交加的路上，也不让一滴水珠落在我身上。
江面@银带@江面如一条闪烁发光的银带	缭绕在山脚下。
微笑@冰淇淋@微笑是夏天里的冰淇淋	给人们带来无比的凉爽。
山峦@老人@那些积雪的山峦，像一群白发苍苍的老人	默默地俯视着他们脚下那一片蓝宝石般的湖泊。
小溪@歌儿@叮叮咚咚流淌的小溪，像多情的少女哼着婉转美妙的歌儿	春天，
人@泰山@五人团结一只虎，百人团结像泰山	十人团结一条龙。
书@指明灯@书是指明灯	能指引前进方向。
春雨@牛毛@春雨像牛毛	密密地斜织着。
爱心@小伞@爱心如一柄撑起在雨夜的小伞	使漂泊异乡的人得到亲情的荫庇。
脸@天空@他的脸一下子黑沉沉的，仿佛晴朗的天空突然卷来一片乌云	十分吓人。
青春@鸟@青春是一只毛羽艳丽的鸟	翱翔在人生的万里蓝天。
万物@顶树林@雾笼罩着大地万物像披着纱巾一样迷蒙蒙的远处的小山看不见顶树林像在捉迷藏一样	东躲西藏，忽隐忽现。
桂林@屏障@桂林的山真秀啊像翠绿的屏障	色彩明丽，倒映水中。
海面@红绸@绚丽的晚霞映在辽阔的海面上，像仙女剪下的红绸	把大海装点得格外艳丽。
太阳@气球@火红的太阳像一个大气球	美丽的一串红宛如一团火焰。
父爱@蜡烛@父爱是蜡烛	默默的为我们奉献着自己。
生活@戏@生活像一场戏	需要你投入全部精力去演好你自己的角色。
身体@黑绸缎@小巧可爱的燕子，身体像黑绸缎似的	油黑发亮。
杨柳@烈火@杨柳茂盛的像一团正在燃烧的烈火	永不停息。
台风@小孩子@台风像一个坏脾气的小孩子	到处跑，到处搞破坏。
父亲@沙发@父亲像一个舒适的大沙发	躺在他的怀里，充满幸福。
童年@音乐@童年是一首轻快的音乐	弹奏着美妙的音符。
旭日@脸庞@旭日像少女的脸庞	羞答答的，放射出灿烂的光芒。
屏风@小姑娘@也有一些柿子把叶子当做屏风，像害羞的小姑娘	躲了起来。
爱心@暖流@爱心是一股暖流	让我们即便是在冬日也能提前感受春天的气息。
小草@战士@小草像一个顽强的战士	拥有极强的生命力。
爱@蓝天@我的爱就像蓝天	蓝得像时空倒流。
童年@小溪@童年像一条络绎不绝的小溪	缓缓地流在我的心里。
椅子@兄弟@我和我的专用椅子像一对亲密无间的好兄弟	一天都离不开它。
吸毒@铅笔@吸毒就像铅笔	用得越多，生命就越短。
春笋@精灵@春笋像一个个精灵	给人们带来了生机与活力。
春风@剪刀@春风像一把剪刀	裁出山川一片绿野。
夜幕@地毯@夜幕四合，像一条连绵不断的地毯	周围的群山。
狱卒@魔鬼@这些被敌人驯化了的狱卒像一群魔鬼	使出浑身解数折磨我党被捕的同志。
银丝@珠帘@春雨如万条银丝从天上飘下来，像美丽的珠帘	屋檐落下一排排水滴。
柳树@小姑娘@柳树像个披着长发的小姑娘	轻柔的柳条随风飘扬。
爱心@白鸽@爱心是一只衔着橄榄叶的白鸽	使世界人民知道和平的重要。
雪花@舞蹈家@雪花从天上飘落下来，像舞蹈家从空中舞动一般	那姿态优美动人。
自信@阳光@自信就像是一片阳光	能为我们照亮了前进的路。
时间@流水@时间像流水	时常变得很慢，时常变得很快。
同学@港湾@同学是一个港湾	一个可以让你的心灵休息的港湾。
创新@太阳@创新是苍苍蓝天中的一个太阳	灿烂的光辉闪耀一道新的永恒。
老师@泉水@老师是甘甜的泉水	滋润着我幼小的心灵。
友谊@炉火@友谊是皑皑雪中的炉火	让人幸福温馨。
童年@小诗@童年像一首优美小诗	让人回味无穷。
祖国@太阳@祖国是太阳	我们是小鸟沐浴在阳光下。
尾巴@稻谷@小狗的尾巴像黄灿灿的稻谷	好看极了。
关心@春风@关心是一缕春风	给人身心的舒畅。
花@蝴蝶@迎春花像一只只蝴蝶停在枝头上	远远望去，张望着路上的行人，
父爱@书@父爱像一本厚重的书	耐人寻味。
父亲@咖啡@父亲像一杯咖啡	第一口是苦的，但是越品越甜。
信念@魔法@信念如同一种魔法	让我们心中充满正气。
杨柳@少女@坝两旁的杨柳像秀发披肩的少女	为长长的大坝，拦成一个珠帘丝垂的走廊。
生活@古画@生活有如欣赏一幅古画	越看越觉珍贵。
客轮@天空@万吨客轮，好像一片树叶在无边的天空飘动	在一碧无垠的大海中。
冷@冰窖@冷得像进入了一个寒冷的冰窖	天气真冷啊，
感动@阳光@感动是一缕阳光	射进我从前封闭的内心。
孩子@幼苗@孩子是一棵幼苗	寄托着父母长成参天大树的希望。
喜欢@泉水@喜欢是一泓出现在沙漠的泉水	它使濒临绝境的人重新看到生活的希望。
天空@画布@天空似一幅画布	等待着鸟儿的着色。
大山@屏障@巍峨耸立的大山像翠绿的屏障	气势磅礴。
手@树叶@妈妈的手，是一片树叶	把我载到祖国的边边角角。
紫红色@根@绿豆中有几个已经有一点紫红色了，就像萝卜的根	今天，
教室@锅@教室里像炸开的锅一样	同学们七嘴八舌地说个不停。
企鹅@倒翁@小企鹅走起路来像个不倒翁一样	一摇一摆的。
外壳@盔甲@小海龟有一个坚硬的外壳，很像披着一件盔甲	外壳是翡翠色的。
老师@山泉@老师像山间最清凉的山泉	用清香的甘露汁浇灌着我们这些小树苗。
雪花@蝴蝶@轻盈的雪花像美丽的蝴蝶	轻轻地在玻璃窗上点了一下，又翩翩然地飞走了。
庐山@屏障@横看庐山如一副屏障铺展开来	侧观之又如一把利剑直刺云霄。
唠叨@灯塔@母亲的唠叨是航船时的灯塔	为我带来了方向。
群山@驼峰@连绵起伏的群山广袤无垠像骆驼的驼峰	很是险峻。
杨梅树@杨梅@杨梅种在山坡上杨梅树像一把把绿色的太阳伞一颗颗杨梅挂在树上像一盏盏小灯笼	可爱极了。
友谊@珍珠@友谊如珍珠	我们共同穿缀，联成一串串璀璨的项链。
皮毛@燕尾服@企鹅的皮毛乌黑乌黑的，像穿着燕尾服一样	可爱极了。
群星@棋子儿@夜空里群星闪烁像巨盘里一颗颗闪光的棋子儿	若隐若现，在夜幕里玩着捉迷藏。
随风@海洋@金色的水稻随风摆动，如金色的海洋	一阵微风吹过，
鼓励@风@鼓励是风	带来和煦的云。
家@箱子@家像一个开口的大箱子	门永远为你敞。
妈妈@阳光@妈妈是快乐时的缕缕阳光	让我增添一份微笑。
爱心@阳光@爱心是一缕温暖的阳光	带给人们快乐和幸福。
爱宛@影子@妈妈的爱宛如一个巨大的影子	将我笼罩。
秋天@心@秋天像一颗无私的心	经历了无尽风雨，却碎了满地金黄。
朋友@调和剂@朋友是伤心时光里的一调和剂	默默的为你拂去心头的忧伤。
叶子@蝴蝶@树上的叶子像蝴蝶一样缓缓飘落	秋天到了，
太阳@旅行者@太阳像一个永不疲劳的旅行者每天从东跑到西像一个伟大的指挥官	指挥一切生灵有节奏的变更着活动与休息。
春雨@绢丝@春雨晰淅沥沥地下着像绢丝，如丝如缕般飘落到大地上	密密地斜织着。
涟漪@网@微风吹拂河水就泛起层层涟漪像巧手的渔家少女编织的网啊	在我的心中，故乡的小河是条最美的河。
生命@铜钱@生命犹如铜钱	每个人高兴怎么用就怎么用，但一个铜钱只能用一次。
秋天@睿智@秋天是一位睿智的长着	它给人间送来了硕果。
地球@水晶球@地球就像是一个蓝色的水晶球	从太空看上去，而那些漂浮在上面的云彩更是为他披上了一层魔幻的颜色，
海浪@孩子@海浪仿佛是一个顽皮的孩子	在沙滩上乱蹦乱跳。
语文@绿茶@语文是香气扑鼻的绿茶	让人神清气爽。
琴声@摇篮曲@蟋蟀的琴声，像美妙的摇篮曲	让小宝宝进入梦想。
和谐@海风@和谐是一股温柔的海风	轻轻拂我们发丝之间。
朋友@摇椅@朋友是疲惫日子里的一把摇椅	温柔地为你摇曳入眠的节奏。
记忆@长河@记忆像一条长河	每一朵激荡起的浪花都是最美好的瞬间，是人生最珍贵的一笔财富。
波涛@野马@浩浩大江的波涛，像脱了缰的野马呼啸奔腾	一泻千里。
莲花@少女@莲花像动情的少女	一下就红了脸庞。
春天@女子@春天像个江南的女子	悠悠的河水，轻轻的漫流。
百花@奇花异草@校园里百花盛开，美得像一个开满奇花异草仙境	春天，
书@道路@书是前进道路上一盏明灯	为我们指引方向。
父爱@茶@父爱如那一杯浓浓的茶一样	带给我无限的暖意。
宽容@清风@宽容是一阵柔和的清风	能熄灭堆积在人们心中的怒火。
鸭子@小绒球@那群刚出壳的小鸭子，像一个个嫩黄的小绒球	那稚嫩的叫声在焦急地呼唤着妈妈。
森林@海洋@进入森林，仿佛跳进了一个绿色的海洋	立刻便被它吞没了。
西红柿@灯笼@灯笼似的小西红柿挂在枝头	真让人喜不自胜。
春雨@根线@滴滴春雨像一根根线似的落了下来	不时还会发出吧嗒吧嗒的声音。
宽容@海洋@宽容如海洋	能容纳惊骇的浪。
操场@棉花@操场变得像铺满棉花一样白茫茫的一片	雪飘落在操场上，
奉献@梅花@奉献是开在寒风中的梅花	它可以让寒冷的冬变得柔和。
感动@感动@感动是什么？感动是亲情的温暖	感动是友谊的童真。
风筝@大雁@风筝像一只大雁一样	呼呼地飞上了天。
微笑@冰淇淋@微笑像夏天里的冰淇淋	给人们带来无比的凉爽。
雨@雨帘@第一眼看见的放肆的大雨，雨并不像以往的“万根银针竖地面”那样竖着拉开雨帘	而是被风折磨成变形的“巨浪”。
大白菜@叶子@瞧这棵大白菜多么像一个碧绿的翡翠呀白菜的叶子很大	又有些弯曲。
喜欢@绿荫@喜欢是绿荫	能撑起一片新的天地，喜欢给我们力量能力和成功的喜悦。
家@港湾@家像温馨的港湾	给我们舒适的拥抱。
耳朵@蒲扇@他的耳朵大得宛如蒲扇	夏天准能扇风哩。
时间@火车@时间是一列火车	错过了就不会再来了。
地球@母亲@地球像一位温柔的母亲	带给我们无尽的温馨。
胡子@胡须@下巴上的小胡子一抖一抖的，像一只老山羊的胡须在颤动	那老头子发怒时，
合作@电池@合作就像电池	有了它，遥控才能使用。
春雨@小姑娘@春雨像一个天真活泼的小姑娘	她走到哪里，哪里便披上了绿袍。
月亮@眉毛@初一的月亮像少女的眉毛一样	细细弯弯的。
燕草@碧丝@燕草如碧丝	秦桑低绿枝。
老师@园丁@老师是园丁	哺育我们这些祖国的花朵。
暖心@朝暾@童心就是暖心，像夏日的朝暾一样和煦	没有任何阴暗。
繁星@露珠@繁星像是大荷叶上的露珠似的闪烁着	没有月亮，
单位@一盘散沙@一个四分五裂的单位，就如一盘散沙	什么事也干不成。
石梯@群山@通往山顶的叠叠石梯远望像一条白色的带子萦绕在群山之间	忽高忽低，弯弯曲曲地回旋着。
胡子@兔@山羊胡子一撅一撅的像个兔尾巴	他向后一仰，
伙伴@港湾@伙伴是一个港湾	一个可以让你的心灵休息的港湾。
心@细雨@那少女的心就像秋天绵绵的细雨	久也晴不起来。
嫩芽@竹笋@柳树的嫩芽也像雨后的竹笋长出来	春天来了，
大海@画家@大海像一位画家	用绚丽的色彩涂抹出一幅幅风景画。
兔子@白缎子@我家有一只兔子，它的毛柔嫩得像一团白缎子	又细又密。
长江@勇士@长江像一位叱咤风云的勇士	一路翻山越岭，呼啸着奔向大海。
秋雨@珠帘子@秋雨绵绵，远远望去像密布的珠帘子	小雨下个不停。
江水@滚沸@江水像滚沸了一样	到处是泡沫，到处是浪花。
北风@雄狮@北风像雄狮一样凶猛地吼着	夹杂着枯枝和尘土，刮来了冰天雪地的冬天。
老师@园丁@老师像一个辛勤的园丁	照顾我们这些祖国的花朵。
时间@情@时间是一轮明月，他将勾起游子的思乡情	寒光满地。
马路@绸带@水淋淋的马路，像一条闪闪发光的绸带	在初夏的绿_中轻轻地飘向前方。
风@姑娘@风像一位亭亭玉立的姑娘	迈着轻盈的脚步走来。
感动@微风@感动是阵阵微风	轻轻吹拂，摇动你心中的风铃。
指头@枯竹@这手臂这么细小，十个指头像一束枯竹技	仿佛一折就会折断似的。
秋妹妹@魔术师@金色的秋天淘气的秋妹妹像一位魔术师让柳树变得五彩缤纷越来越美就像一位少女的辫子一样	亭亭玉立。
眼泪@线@眼泪像断了的线	划在脸颊，顺着脸颊流向小瑾的粉嫩的小脸上。
父爱@书@父爱是一本厚重的书	承载着岁月的沧桑之痕。
太阳@鸭蛋黄@太阳仿佛圆润的鸭蛋黄	清晨，轻快地跳上东方的天空，
河水@白丝带@一条白丝带似的河水	蜷曲在绿色的草原上。
有@耳朵@有双像扇子一样的大耳朵	大象全身深灰色，时不时地扇动着，
脸颊@小溪@满头的大汗顺着脸颊一道道淌下来，就好像是一条条的小溪	今天真热啊，
游泳圈@泥鳅@我把游泳圈一甩，像小泥鳅似的游了起来	“扑通”一声跳进了奔腾的湘江。
晚霞@皇帝@晚霞像奢享的皇帝	在金碧辉煌之中聆听优美的旋律。
时间@水@时间就像海绵里的水一样	只要你愿意挤，总还是有的。
枣子@灯笼@那些绿色的枣子渐渐变红了一串串的像无数的小灯笼火红火红的像无数的笑脸	欣喜地向人们报告着，一年一度的收获季节到了。
雨丝@丝线@春天的雨丝像一根根丝线	细密又透明，从天际飘下。
友情@阳光@友情如阳光友情如泉水	是那荡漾的光天衣无缝的配合。
喜欢@灯塔@喜欢是一座亮在黑夜的灯塔	使迷途航船找到港湾。
书@大门@因为书是一把打开人生大门的金钥匙	我最喜欢读书搜索，
水光@眼波@河水闪动着粼粼的水光，就似闪动着明亮的眼波	凝视着这秋天山野的秀色。
小草@小鸟@小草像新生的小鸟	破土而出，欢快的唱着歌儿。
宇宙@飞轮@宇宙是一个每分钟旋转一万次的巨大飞轮	人只是叮在它上面的一只头晕目眩的小虫。
老师@灯@老师像一盏灯	为我们照亮前方的道路。
耳朵@寺庙@耳朵很大，像寺庙里佛像的大耳朵	耳垂也肥。
生活@菜@生活像一道道菜	菜的美味否，那就要看你这个掌勺的师傅的水平了。
桂花@小精灵@桂花如一个个穿着金衣服的小精灵	优美的落到地面。
木棉花@烈火@木棉花像一团团烈火	热烈而奔放。
底部@橙子@在花朵的底部，这就是小橙子	露出个个小玻璃球那样大小的浅绿色的果实。
合作@色彩@合作是组成彩虹的七种色彩	共同构成美丽的图案。
春天@青年@春天像健壮的青年	有铁一般的胳膊和腰脚，她领着我们上前去。
心@小苗@我的心就像久旱的小苗喝到了春雨	霎时，
云彩@羽@云彩像一朵朵洁白的羽一毛一	轻轻的飘浮在空中。
书@火把@书是火把	能指引前进之路。
啾啾@叫声@“唧唧啾啾”那是画眉鸟婉转悦耳的叫声	听起来多像歌唱家在唱一首优美动听的歌曲。
手@路@我们的手是路	在人与人之间，架起彩色的桥。
冬天@孩子@冬天像一个孩子	让我们对新的一年充满希望。
友善@小雨@友善是一瓢纷洒在春天的小雨	使落寞孤寂的人享受心灵的滋润。
嘴@荷花@嘴咧得如同一朵绽放的荷花	姐姐顿时欢天喜地，久久地合不拢，
湖水@明镜@湖水像明镜似的	可以映照出远处的山林。
尤@人间@晨雾飘浮在黄海滩涂上，尤如人间仙境	飘飘然。
鸭子@身体@小鸭子有一个像油一样光亮的身体，像棉花一样	它的皮毛很柔软。
希望@明灯@希望是茫茫黑夜中蓦然点亮的明灯	让你在黑暗中感觉到光明的存在。
麦子@金色@金黄的麦子像随风而动的金色海洋又像金灿灿的大沙漠	一阵风吹过，
圆溜溜@篮球@西瓜圆溜溜的，像一个篮球	表皮墨绿和嫩绿相间。
勇气@保护罩@勇气是一层保护罩	带领我勇往直前。
桃花@海洋@桃花开得十分灿烂了，像一个红色的海洋	一大片红艳艳的。
爱心@海@爱心是海	包容一切过错。
山顶@少女@从谷底一到山顶，最终像一个羞涩的少女隐去了	雾越来越少。
笑脸@微笑@万寿菊绽开笑脸，像一个姑娘露出幸福的微笑一样	早上八点，
春风@金鸡@春风像破晓的金鸡	将冬天的世界唤醒。
山真奇@骆驼@桂林的山真奇啊一座座拔地而起各不相连像骆驼	奇峰罗列，形态万千。
音乐@药@音乐是我疗伤最好的药	没有谁能陪我走过悲伤的海。
星星@萤火虫@天上的星星像黑夜里的萤火虫	一闪一闪的，可爱极了。
森林@口罩@森林是地球的绿口罩	净化空气防感冒。
开学@接客@开学就像接客	你还没有休息够，新一批的客人就又来打扰你了。
腿@柱子@大象的腿像四条粗大的柱子一样脚掌像一块石头似的	谁要是被大象踩中了，务必变成肉饼。
石榴@小孩@石榴熟透了像小孩哈哈大笑似的张开嘴	向人们报告成熟的喜讯。
银子@闪闪@晶莹的露珠一滴一滴地撤在草茎和树叶上，银子似地闪闪发亮	蜘蛛网上沾了露水。
尊重@团火@尊重是一团火	一团温暖你我的火。
云端@羽毛@海鸥闪电般从云端俯冲下来，突然像羽毛一样轻盈地飘落	在接近水面的一刹那。
灯光@焰火@长江里闪耀的灯光，像五颜六色的焰火	洒落人间。
腿@柱子@大象的腿像四条粗大的柱子一样脚掌像一块石头似的	谁要是被大象踩中了，一定变成肉饼。
果@灯笼@树上有一些大大小小的橙子果，像个个小灯笼挂在树上	发出黄灿灿的光。
青春@花朵@青春是一束花朵	绽放出醉人的娇艳。
挫折@老师@挫折是人生最好的老师	也是人生的一笔财富。
勤奋@钻头@勤奋是钻头	可以开掘才华的宝藏。
夏天@翡翠@在夏天中，绿得像翡翠	我最喜欢的就是那迷人的绿了。
水@玉石@乡的水是浅绿的，像一块完美无暇的玉石	纯天然的。
梨花@珍珠@梨花千姿百态，像一颗颗洁白无瑕的小珍珠挂满了枝头	有的羞涩地打着朵儿。
爱情@地心@爱情像地心引力无法抗拒	一寸一寸深深地被你吸引。
我@桔子@我是一只桔子	我家住在果园村3号树。
长江@乐章@长江也变得热烈起来，如一曲奔腾的乐章	奔流而去。
银色@小路@银色像月光铺满的林间小路	美丽静谧。
山泉@水仙@山泉，仿佛一朵朵水仙	从石隙中滔滔地喷涌而出。
友谊@焰火@友谊如焰火、友谊如烛台	是黑暗中那一点的余温。
冬天@时装@冬天是个时装设计师	为大地披上了雪白的衣裳。
金钱@相机@金钱像一部相机	拍出人们灵魂的美与丑。
牙齿@狮子@牙齿咬得“格格”作响，好似一头被激怒的狮子	眼里闪着一股无法遏制的怒火。
时光@蛀牙@时光是一颗浑然不被觉察的蛀牙	前一天还好好的没有任何感觉，第二天发现时它已接近镂空。
文明@灯@一份文明是一盏灯	许多文明就是太阳的热情。
校园@梦@美丽的校园像梦	美妙的铃声一遍遍响起。
细水@呜咽声@只有小股细水还在流，就像孩子的呜咽声	冬天河水都结上了一层冰，
歌声@春风@歌声像一阵微微的春风	拂去了你的悲伤。
太阳@向导@太阳像一个忠实的向导	一直为我们指引方向。
春天@巧剪@春天是一把巧剪	裁处大地一片新绿。
构造@小船@大雁的身体构造很像小船	一双带蹼的脚，像是两把船桨。
稻谷@少女@稻谷如成熟了的少女在田野中舞蹈	秋天来了，
母亲@老黄牛@母亲像默默的老黄牛	忍辱负重，从不叫苦。
关爱@微笑@关爱是一个微笑	给人亲切的关怀。
树@草@小树像秋天的草一样	枯萎了。
白云@绵羊@白云像一群绵羊	慢慢地游动。
碴@孩子@山楂树上结出了一个又一个小青山碴，就像一个个没有成熟的孩子	顽皮地在树枝上荡秋千。
春天@旭日@春天是初生的旭日	生机勃勃。
春风@手@春风像妈妈的手一样	轻柔的拂过大树绿色的秀发。
树@云@树像一朵绿色的云	从大地上升起。
桃花@少女@桃花像位翩翩起舞的少女	在春风中慢慢吐出微笑。
失败@失败@失败是什么？失败就是遇到一座高山	绕路过去就是了。
马路@河道@城市的马路犹似纵横交织的河道	红绿灯便是浮在水面的航标。
母爱@湖@母爱您是湖	我是湖中的鱼，您为我提供广阔的活动空间。
她@蛇@她像被蛇咬了似的	听说女儿出事了，心里一阵发痛，
书@灯塔@书像灯塔	为迷途的船只指引航向。
道德@路@道德是路	引导人们走向灿烂辉煌。
父爱@音符@父爱是那跳动的音符	一点一点谱写着我生命的乐章。
苦瓜@香蕉@苦瓜像香蕉	可浅绿色的表皮上却隆起许多卵形的小疙瘩。
稻谷@珍珠@那沉甸甸的稻谷，像一垄垄金黄的珍珠	真是喜煞人啊。
坚持@星星之火@坚持是星星之火	能点燃人生的灯。
枣子@灯笼@那些绿色的枣子渐渐变红了，一串串的像无数的小灯笼	火红火红的。
枝桠@游人@这几棵松树向阳的一边长着特别多的枝桠，像在向游人伸出手臂	向下斜斜地伸着。
梨树@雪山@那高高低低缀满白花的梨树，如连绵起伏的雪山	真是壮观。
湖水@蓝绸子@湖水像一条透明的蓝绸子清澈见底	静静地躺在大地的怀抱里。
大地@书@大地如同一本大书	蕴含无数奥秘。
牙齿@灯塔@他的牙齿犹如闪光的灯塔	笑声如同地震的前奏。
母爱@问候@母爱是心酸时的一句问候	让我得到一丝丝的慰藉。
孤独@泡泡@孤独如吐出的一串一串的泡泡	哪一天窜出了水面，留下泡影般的陆地想法。
风@脸庞@风像一根根针一样刺向我的脸庞	冬天来了，
时间@子弹@时间像一颗子弹	快的让你做不出反应，你眼睁睁看着它把青春一枪击穿。
灯@眼睛@那一盏盏灯像是亲人的眼睛	召唤那些始终奔波在路上的人。
